"","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","depth","TOT","TSG","TMA","class"
"1044",0.035845872,0.04033599,0.017230259,0.00789851,-0.638878882,-0.672495425,0.672495425,-0.557035804,0.620782554,0.146192119,-0.442581505,-1.569556355,100,5,95,"MA High"
"1045",0.036849633,0.041697457,0.017229371,0.010006486,-0.57288456,-0.61293143,0.61293143,-0.397796422,0.607564747,0.173853472,-0.409350336,-1.317222476,0,0,0,"Bare"
"1046",0.037226059,0.039467447,0.015534744,0.009229445,-0.602654397,-0.620943189,0.620943189,-0.381920367,0.685340285,0.272603989,-0.393746585,-1.270149589,0,0,0,"Bare"
"1047",0.035091914,0.045041438,0.017117383,0.008453476,-0.611739576,-0.683952153,0.683952153,-0.508229315,0.463795096,0.130558044,-0.327763021,-1.556876659,0,0,0,"Bare"
"1048",0.035720389,0.042813115,0.017230395,0.009230386,-0.589311361,-0.645281851,0.645281851,-0.45350185,0.543960273,0.142678604,-0.382986546,-1.569959044,100,1,99,"MA High"
"1049",0.033582386,0.042564686,0.01802027,0.009229864,-0.568821371,-0.643597126,0.643597126,-0.483873188,0.489399046,0.042608134,-0.41935575,-1.476357102,0,0,0,"Bare"
"1050",0.036222033,0.042069416,0.016552048,0.008675017,-0.613559604,-0.658089876,0.658089876,-0.468367815,0.579462171,0.190990359,-0.373134494,-1.466444135,90,2,88,"MA High"
"1051",0.038984906,0.043431178,0.014744337,0.00889677,-0.628385186,-0.659961045,0.659961045,-0.371021122,0.61378181,0.363449603,-0.262453467,-1.415865183,0,0,0,"Bare"
"1052",0.036975514,0.040459037,0.017794244,0.007676008,-0.656181574,-0.681063652,0.681063652,-0.595885515,0.648063242,0.149662092,-0.461487681,-1.405689597,95,0,95,"MA High"
"1053",0.035467897,0.036617842,0.017455555,0.009229863,-0.587010026,-0.597368598,0.597368598,-0.462370068,0.72914505,0.124476515,-0.548144281,-1.376919031,0,0,0,"Bare"
"1054",0.035844367,0.040954266,0.018019898,0.008785685,-0.606288373,-0.646735311,0.646735311,-0.516732633,0.602028191,0.107810557,-0.457910627,-1.3365767,33,0,33,"MA Low"
"1055",0.040064491,0.046631612,0.017332699,0.008831602,-0.638760448,-0.681532979,0.681532979,-0.487368137,0.553634882,0.252382278,-0.301587164,-2.529515266,9,0,1,"MA Low"
"1056",0.039687436,0.047618184,0.016768109,0.009495661,-0.613864899,-0.667483032,0.667483032,-0.415350616,0.518425286,0.271261007,-0.258080125,-2.172894478,1,0,1,"Bare"
"1057",0.039560344,0.048604313,0.016654126,0.009494756,-0.612894237,-0.673152924,0.673152924,-0.410688877,0.490003407,0.273889512,-0.232933685,-1.872517228,0,0,0,"Bare"
"1058",0.045643721,0.051109564,0.020737339,0.011121659,-0.608153462,-0.64256984,0.64256984,-0.452729881,0.571217299,0.229311407,-0.332128286,-1.786251307,17,0,17,"MA Low"
"1059",0.042750813,0.048134863,0.019376101,0.008453628,-0.669808805,-0.701224506,0.701224506,-0.588712513,0.579503417,0.221925825,-0.345817447,-1.008569956,0,0,0,"Bare"
"1060",0.045643147,0.051850945,0.021865878,0.011676156,-0.592592537,-0.63240397,0.63240397,-0.455684453,0.553489149,0.183958665,-0.353844345,-1.686454773,0,0,0,"Bare"
"1061",0.045140103,0.053580269,0.021751827,0.010121794,-0.633679092,-0.682214558,0.682214558,-0.547319293,0.502049327,0.177350745,-0.317472249,-1.466748357,28,0,28,"MA Low"
"1062",0.045014154,0.052096594,0.022090085,0.010010514,-0.636144519,-0.6776371,0.6776371,-0.56445539,0.533798575,0.161353618,-0.356070995,-1.401509643,0,0,0,"Bare"
"1063",0.043508474,0.04949918,0.021863563,0.009233143,-0.649872601,-0.685585618,0.685585618,-0.609248757,0.562689841,0.136151507,-0.400189221,-1.274901986,37,0,37,"MA Low"
"1064",0.043507874,0.048509244,0.021072881,0.009454778,-0.642964303,-0.673770785,0.673770785,-0.570864379,0.587526619,0.167653784,-0.395285547,-1.221614957,0,0,0,"Bare"
"1065",0.042753641,0.048136894,0.021071713,0.00856608,-0.666168094,-0.697861373,0.697861373,-0.632923305,0.579517663,0.150213614,-0.402953237,-1.103797793,62,0,62,"MA High"
"1066",0.042501654,0.0481361,0.020393522,0.008676481,-0.660930157,-0.694557786,0.694557786,-0.604594469,0.573626578,0.172292978,-0.380672574,-1.048633456,0,0,0,"Bare"
"1067",0.042124182,0.047640439,0.01937652,0.009230796,-0.640510142,-0.675379097,0.675379097,-0.531982303,0.577437818,0.207141072,-0.356156945,-1.017625213,35,0,35,"MA Low"
"1068",0.036384679,0.044415176,0.02002814,0.008366675,-0.626081705,-0.682971537,0.682971537,-0.616034925,0.51719588,0.032366402,-0.448801607,-2.0797925,72.5,5,67.5,"MA High"
"1069",0.034739934,0.047265533,0.024664542,0.009587365,-0.56742841,-0.662730813,0.662730813,-0.660277545,0.394424409,-0.192054376,-0.528524339,-2.10535264,95,73,22,"SG High"
"1070",0.035501745,0.044911236,0.020480493,0.00836637,-0.618567169,-0.685932994,0.685932994,-0.629918933,0.478967279,-0.011309295,-0.452917457,-2.082030058,59,1,57,"MA High"
"1071",0.034996174,0.045530915,0.020819243,0.007587241,-0.643652797,-0.714325905,0.714325905,-0.698713839,0.447767198,-0.039688565,-0.450395018,-2.085788488,83,83,0,"SG High"
"1072",0.03512283,0.044910774,0.021498773,0.007587601,-0.64469564,-0.710939586,0.710939586,-0.717406631,0.46824944,-0.063556671,-0.485999733,-2.08699894,90,83,7,"SG High"
"1073",0.034239583,0.044041384,0.020819284,0.007587292,-0.637204945,-0.706082225,0.706082225,-0.698711038,0.466826797,-0.061546635,-0.483658165,-2.08699894,88,85,3,"SG High"
"1074",0.032093972,0.043419734,0.020705286,0.007475455,-0.622160017,-0.70624119,0.70624119,-0.704195321,0.419599652,-0.121562928,-0.494131595,-2.096283436,78.5,59,13,"SG High"
"1075",0.033354141,0.041431945,0.020930853,0.007586058,-0.629407823,-0.690478683,0.690478683,-0.701941073,0.515758991,-0.092319988,-0.548378468,-2.100067854,83,83,0,"SG High"
"1076",0.033101205,0.044659805,0.022514923,0.007585749,-0.627116382,-0.709611714,0.709611714,-0.743962169,0.41586116,-0.162352636,-0.523080289,-2.100111246,97,97,0,"SG High"
"1077",0.033856642,0.047141034,0.022853632,0.008030012,-0.616583705,-0.708904862,0.708904862,-0.719974279,0.371914208,-0.152562901,-0.479187399,-2.100024462,84,84,0,"SG High"
"1078",0.030444691,0.036498785,0.01655587,0.007900692,-0.587919533,-0.644108772,0.644108772,-0.530850053,0.58043474,0.017036846,-0.515333891,-2.122756958,67,0,67,"MA High"
"1079",0.032833848,0.037613608,0.016555335,0.00867718,-0.581933737,-0.625101209,0.625101209,-0.468333542,0.6189726,0.092612788,-0.485224992,-2.097496986,0,0,0,"Bare"
"1080",0.03082161,0.036870215,0.01655551,0.007900427,-0.591941535,-0.647071064,0.647071064,-0.530857801,0.580284178,0.029359873,-0.505194068,-2.130439758,0,0,0,"Bare"
"1081",0.031324398,0.036374077,0.016103406,0.007900216,-0.597180724,-0.643124044,0.643124044,-0.512621999,0.613130629,0.06923148,-0.499870181,-2.129106045,100,0,100,"MA High"
"1082",0.030570157,0.036126655,0.015877925,0.007900532,-0.589270055,-0.641106665,0.641106665,-0.50323236,0.597153664,0.056923468,-0.497084707,-2.12680006,0,0,0,"Bare"
"1083",0.031701967,0.036746077,0.015764676,0.007900321,-0.601016939,-0.646093667,0.646093667,-0.498480201,0.612595499,0.099402435,-0.475205451,-2.116651535,98,0,98,"MA High"
"1084",0.032078858,0.036497846,0.016329158,0.00790011,-0.604786694,-0.644122839,0.644122839,-0.521830559,0.632752001,0.081119925,-0.505961835,-2.106956959,0,0,0,"Bare"
"1085",0.0309468,0.037613388,0.017345753,0.008566045,-0.566417217,-0.629010379,0.629010379,-0.508245766,0.559789479,-0.006482664,-0.517018914,-2.106109142,55.4,3.4,52,"MA High"
"1086",0.033713836,0.03810915,0.017232878,0.008677076,-0.590616226,-0.629075646,0.629075646,-0.495319426,0.629320562,0.084741987,-0.499474823,-2.101284742,0,0,0,"Bare"
"1087",0.032079149,0.037241727,0.016781166,0.008677128,-0.574194312,-0.622066915,0.622066915,-0.477489084,0.607941449,0.057766605,-0.504395545,-2.098215103,97,0,97,"MA High"
"1088",0.028824996,0.036352888,0.014274001,0.00818722,-0.557593644,-0.632366359,0.632366359,-0.406485945,0.530693114,0.089256339,-0.41826126,-1.597632885,100,0,95,"MA High"
"1089",0.029822813,0.036223326,0.016187951,0.007851015,-0.583211184,-0.643737614,0.643737614,-0.520213902,0.569115818,0.015627502,-0.507592261,-1.605237484,0,0,0,"Bare"
"1090",0.028195022,0.036475897,0.014499047,0.007853997,-0.564260125,-0.645656884,0.645656884,-0.445915788,0.504440188,0.053774361,-0.425545186,-1.586730838,0,0,0,"Bare"
"1091",0.031588167,0.035855863,0.015852809,0.00785349,-0.601766706,-0.640649438,0.640649438,-0.506151438,0.639167249,0.091036282,-0.503529608,-1.58026731,83,83,0,"SG High"
"1092",0.030080039,0.036103629,0.015175662,0.007964453,-0.581308484,-0.638538718,0.638538718,-0.467448592,0.581775486,0.079466194,-0.466890067,-1.550164819,0,0,0,"Bare"
"1093",0.029701637,0.036721908,0.015852103,0.007852985,-0.581783295,-0.647649884,0.647649884,-0.50616467,0.548228323,0.029493961,-0.479632825,-1.579898357,93,93,0,"SG High"
"1094",0.030580439,0.037711665,0.015512793,0.007963388,-0.586787879,-0.651302516,0.651302516,-0.482365817,0.544670522,0.077165335,-0.438289583,-1.580054283,0,0,0,"Bare"
"1095",0.03284239,0.037959352,0.015851466,0.007963442,-0.609690964,-0.653181314,0.653181314,-0.496833146,0.607977092,0.130046248,-0.446463019,-1.552756786,100,3.5,96.5,"MA High"
"1096",0.032213081,0.03795854,0.015737895,0.007962937,-0.603597522,-0.653193355,0.653193355,-0.492068708,0.588655949,0.116851062,-0.441583574,-1.566762567,0,0,0,"Bare"
"1097",0.031834994,0.04105211,0.016414382,0.007962431,-0.599851966,-0.675099254,0.675099254,-0.520081401,0.480472475,0.069034919,-0.391920805,-1.585838437,100,28,72,"MA High"
"1098",0.036734194,0.042518042,0.013518221,0.00756024,-0.658636987,-0.698063135,0.698063135,-0.423985928,0.580454111,0.378267884,-0.22452791,-3.822724342,95,0,93.5,"MA High"
"1099",0.037946921,0.040786926,0.012061404,0.005446943,-0.748953283,-0.764374316,0.764374316,-0.566683471,0.664066732,0.508311927,-0.188376486,-3.778088808,0,0,0,"Bare"
"1100",0.036479477,0.041127428,0.013750779,0.007110616,-0.673750818,-0.705186427,0.705186427,-0.477448672,0.6144014,0.356715471,-0.269406796,-3.780204535,0,0,0,"Bare"
"1101",0.035070606,0.042779047,0.013410755,0.007340275,-0.653849423,-0.707087994,0.707087994,-0.438808113,0.526581228,0.33875221,-0.212968066,-3.764512777,45.7,0,45.7,"MA Low"
"1102",0.034820098,0.04202475,0.013531106,0.007231245,-0.656075418,-0.706381142,0.706381142,-0.45514071,0.541296065,0.323939502,-0.236847013,-3.744109869,0,0,0,"Bare"
"1103",0.038557079,0.041267771,0.013533683,0.006894744,-0.696613133,-0.713688374,0.713688374,-0.487478018,0.665600777,0.425721496,-0.255153716,-3.732742548,0,0,0,"Bare"
"1104",0.034959573,0.040133532,0.011810944,0.007349685,-0.652573168,-0.690430164,0.690430164,-0.349252015,0.60193634,0.444270074,-0.190223724,-3.6995821,0,0,0,"Bare"
"1105",0.038184177,0.040391624,0.012276543,0.006563657,-0.706637979,-0.72042942,0.72042942,-0.454842746,0.682279885,0.499417722,-0.210165709,-3.685395718,95.8,0,95,"MA High"
"1106",0.038191095,0.044446953,0.014009397,0.00532676,-0.755191982,-0.785960913,0.785960913,-0.67355448,0.564770699,0.386625499,-0.204485297,-3.680196285,0,0,0,"Bare"
"1107",0.039484348,0.047108095,0.013899366,0.005556182,-0.753280818,-0.78899616,0.78899616,-0.64324975,0.5265432,0.426674068,-0.140962571,-3.704243898,85.9,0,85.5,"MA High"
"1108",0.022424262,0.030993354,0.008209379,0.005391453,-0.612344801,-0.703642607,0.703642607,-0.310781687,0.475798637,0.311449766,-0.200741321,-3.747802019,76.7,50,25.7,"SG High"
"1109",0.018058233,0.029057637,0.007398923,0.004597668,-0.594130635,-0.726778984,0.726778984,-0.350256354,0.338588953,0.183842838,-0.194388062,-3.820507288,0,0,0,"Bare"
"1110",0.022956381,0.02878405,0.007739183,0.00412902,-0.695111036,-0.74909544,0.74909544,-0.456281841,0.590220034,0.385367244,-0.234492689,-3.761088133,99,92,7,"SG High"
"1111",0.020966819,0.028786108,0.007152499,0.003786018,-0.694094241,-0.767530203,0.767530203,-0.461645931,0.499477267,0.36216408,-0.180689827,-3.809899092,83.9,73,10.4,"SG High"
"1112",0.020438047,0.029178232,0.007625413,0.004705988,-0.625677586,-0.722231269,0.722231269,-0.355120838,0.457290798,0.28184092,-0.21079725,-3.785884857,89.5,63,25.5,"SG High"
"1113",0.018977243,0.028268805,0.007037472,0.004132442,-0.642362773,-0.74492079,0.74492079,-0.390114516,0.422083676,0.276335418,-0.187773615,-3.778523922,82.8,69,12.3,"SG High"
"1114",0.021636596,0.028660433,0.007274368,0.003903845,-0.69430089,-0.760237575,0.760237575,-0.452289164,0.536304474,0.379153401,-0.19658047,-3.784992456,0,0,0,"Bare"
"1115",0.017918494,0.027492153,0.007747254,0.004364548,-0.608262837,-0.725988686,0.725988686,-0.41893518,0.398945481,0.136712804,-0.281123936,-3.804543734,91.5,58,30,"SG High"
"1116",0.022969063,0.029184077,0.008219541,0.005284014,-0.62595129,-0.693396807,0.693396807,-0.326083839,0.573794425,0.334396064,-0.261733979,-3.813275099,0,0,0,"Bare"
"1117",0.020714048,0.02918613,0.008692339,0.004252221,-0.659362674,-0.745667994,0.745667994,-0.51451546,0.470371813,0.183207512,-0.299782485,-3.798346758,78.4,74,4.4,"SG High"
"1118",0.065203778,0.072707109,0.020395158,0.004446127,-0.872329295,-0.884745538,0.884745538,-0.963055968,0.494291782,0.600198805,0.031679519,-4.185526371,86,30,55,"MA High"
"1119",0.0641625,0.070518799,0.01734437,0.0057198,-0.836301923,-0.849950016,0.849950016,-0.756014884,0.515785515,0.722734809,0.111554697,-4.183393955,0,0,0,"Bare"
"1120",0.06691324,0.072578408,0.020749029,0.004331653,-0.878401041,-0.88735795,0.88735795,-0.981873751,0.522350609,0.611360013,0.018183442,-4.183808327,0,0,0,"Bare"
"1121",0.066388786,0.070900045,0.018866198,0.006172342,-0.829871953,-0.839829981,0.839829981,-0.760459065,0.543262243,0.684883714,0.059623476,-4.187812328,87.1,82.5,3.6,"SG High"
"1122",0.065075845,0.071547158,0.020634297,0.006748597,-0.812080741,-0.827612698,0.827612698,-0.760640919,0.512111068,0.588260829,0.007651973,-4.190672398,0,0,0,"Bare"
"1123",0.063761435,0.071805954,0.019104151,0.006174273,-0.823430002,-0.841645181,0.841645181,-0.767247856,0.487264693,0.633780003,0.063777104,-4.221535683,85.1,69,16.1,"SG High"
"1124",0.061263222,0.068706207,0.019459205,0.005600851,-0.832470536,-0.849251151,0.849251151,-0.829508483,0.501578331,0.578055441,0.007098376,-4.166695118,84.2,55,17.2,"SG High"
"1125",0.062975153,0.06935332,0.018753922,0.003992192,-0.880771995,-0.891140103,0.891140103,-0.973467231,0.517607152,0.637202919,0.041634712,-4.151608944,100,0,100,"MA High"
"1126",0.061660707,0.069483481,0.018755207,0.006522608,-0.808674395,-0.82836616,0.82836616,-0.725889444,0.494207293,0.616050959,0.04346304,-4.157496929,0,0,0,"Bare"
"1127",0.062188093,0.068579614,0.018049741,0.005833748,-0.828474283,-0.843207002,0.843207002,-0.767224193,0.518830776,0.657371819,0.056500882,-4.152395248,71,61,10,"SG High"
"1128",0.048751865,0.056910381,0.016766384,0.006969352,-0.74984926,-0.781797707,0.781797707,-0.619131744,0.504849374,0.477057815,-0.079746954,-4.209753036,87.5,82,4.5,"SG High"
"1129",0.046787031,0.053167798,0.01442508,0.007552388,-0.72202909,-0.751239598,0.751239598,-0.469073057,0.54739064,0.564611018,-0.045258019,-4.179652691,82.5,59,18.5,"SG High"
"1130",0.050730906,0.058075581,0.01700297,0.006855524,-0.761904895,-0.788837016,0.788837016,-0.637976944,0.519709826,0.504860759,-0.069029711,-4.207298756,75,66,1,"SG High"
"1131",0.047567938,0.058981881,0.019121435,0.007545503,-0.726182818,-0.773160994,0.773160994,-0.651139557,0.436285049,0.340016723,-0.133576348,-4.209621906,94,76.5,3,"SG High"
"1132",0.046249814,0.057430912,0.015829002,0.006972268,-0.737993419,-0.783480644,0.783480644,-0.582647443,0.440963268,0.47359699,-0.031429689,-4.207532883,95,95,0,"SG High"
"1133",0.048230205,0.058983859,0.016183266,0.008925215,-0.687686145,-0.737142205,0.737142205,-0.433601558,0.450070322,0.496586978,-0.019834442,-4.211658001,89.2,88.5,0.7,"SG High"
"1134",0.046780746,0.058984935,0.017478557,0.008122497,-0.704115927,-0.75792557,0.75792557,-0.548184037,0.419534117,0.400193542,-0.072295338,-4.203561783,92.5,58,34.5,"SG High"
"1135",0.047046181,0.055623185,0.015715312,0.007434574,-0.727075219,-0.764197946,0.764197946,-0.536551535,0.497377872,0.496836782,-0.058499273,-4.191241741,80.5,76,2.5,"SG High"
