"","Station","Year","GRID","TOT","easting","northing"
"126","BH14",2022,3,4,583938.727700904,2855768.99746133
"127","BH14",2023,1,5,583991.760709492,2855822.03046992
"128","BH14",2023,2,4,583956.405370433,2855786.67513086
"129","BH14",2023,3,4,583938.727700904,2855768.99746133
"130","BH22",2009,1,5,582483.98828755,2849324.30822105
"131","BH22",2009,2,5,582443.98828755,2849255.02618875
"132","BH22",2009,3,5,582437.48828755,2849243.7678585
"133","BH22",2010,1,4,582483.98828755,2849324.30822105
"134","BH22",2010,2,5,582443.98828755,2849255.02618875
"135","BH22",2010,3,4,582437.48828755,2849243.7678585
"136","BH22",2011,1,4,582483.98828755,2849324.30822105
"137","BH22",2011,2,5,582443.98828755,2849255.02618875
"138","BH22",2011,3,5,582437.48828755,2849243.7678585
"139","BH22",2012,1,5,582483.98828755,2849324.30822105
"140","BH22",2012,2,5,582443.98828755,2849255.02618875
"141","BH22",2012,3,5,582437.48828755,2849243.7678585
"142","BH22",2013,1,1,582483.98828755,2849324.30822105
"143","BH22",2013,2,3,582443.98828755,2849255.02618875
"144","BH22",2013,3,3,582437.48828755,2849243.7678585
"145","BH22",2014,1,3,582483.98828755,2849324.30822105
"146","BH22",2014,2,3,582443.98828755,2849255.02618875
"147","BH22",2014,3,3,582437.48828755,2849243.7678585
"148","BH22",2015,1,3,582483.98828755,2849324.30822105
"149","BH22",2015,2,4,582443.98828755,2849255.02618875
"150","BH22",2015,3,0.5,582437.48828755,2849243.7678585
"151","BH22",2016,1,5,582483.98828755,2849324.30822105
"152","BH22",2016,2,0,582443.98828755,2849255.02618875
"153","BH22",2016,3,0.5,582437.48828755,2849243.7678585
"154","BH22",2017,1,5,582483.98828755,2849324.30822105
"155","BH22",2017,2,3,582443.98828755,2849255.02618875
"156","BH22",2017,3,2,582437.48828755,2849243.7678585
"157","BH22",2018,1,3,582483.98828755,2849324.30822105
"158","BH22",2018,2,4,582443.98828755,2849255.02618875
"159","BH22",2018,3,5,582437.48828755,2849243.7678585
"160","BH22",2019,1,5,582483.98828755,2849324.30822105
"161","BH22",2019,2,4,582443.98828755,2849255.02618875
"162","BH22",2019,3,4,582437.48828755,2849243.7678585
"163","BH22",2020,1,5,582483.98828755,2849324.30822105
"164","BH22",2020,2,5,582443.98828755,2849255.02618875
"165","BH22",2020,3,5,582437.48828755,2849243.7678585
"166","BH22",2021,1,5,582483.98828755,2849324.30822105
"167","BH22",2021,2,5,582443.98828755,2849255.02618875
"168","BH22",2021,3,5,582437.48828755,2849243.7678585
"169","BH22",2022,1,4,582483.98828755,2849324.30822105
"170","BH22",2022,2,4,582443.98828755,2849255.02618875
"171","BH22",2022,3,5,582437.48828755,2849243.7678585
"172","BH22",2023,1,3,582483.98828755,2849324.30822105
"173","BH22",2023,2,3,582443.98828755,2849255.02618875
"174","BH22",2023,3,3,582437.48828755,2849243.7678585
"175","BH29",2009,1,1,579186.019736343,2844160.84210723
"176","BH29",2009,2,5,579140.057069756,2844122.27485065
"177","BH29",2009,3,4,579097.924625384,2844086.92153211
"178","BH29",2010,1,3,579186.019736343,2844160.84210723
"179","BH29",2010,2,5,579140.057069756,2844122.27485065
"180","BH29",2010,3,5,579097.924625384,2844086.92153211
"181","BH29",2011,1,5,579186.019736343,2844160.84210723
"182","BH29",2011,2,5,579140.057069756,2844122.27485065
"183","BH29",2011,3,5,579097.924625384,2844086.92153211
"184","BH29",2012,1,5,579186.019736343,2844160.84210723
"185","BH29",2012,2,5,579140.057069756,2844122.27485065
